date,AT,AU,BE,BR,CA,CH,DE,ES,FR,GB,IE,IN,IT,LU,MX,NL,NZ,PH,PL,SE,SG,US
2019-10-11,3.23749509793956,3.45925473311286,2.24897384612168,1.62968760511374,3.08827735986966,2.74013213015108,4.34506811471023,3.93301059368612,2.23395748465526,3.07943861185374,3.56155291677128,2.22664869608949,2.25138209375239,2.65470819792871,0.678482536051545,1.37440905769881,1.91809717503055,1.21511845294055,5.64308797091828,1.69426420686242,2.11262863960251,2.86519893155352
2019-10-12,3.24559551372137,3.4753128470318,2.2428511721902,1.62763546796877,3.08605084223344,2.7429064076368,4.34191176825926,3.92001781468811,2.22709356109182,3.08564542379969,3.56456673956088,2.22026840989183,2.24843174436358,2.63646747111478,0.683247819847455,1.37688448203248,1.91480911743006,1.20585290039142,5.69357014839077,1.69510607392151,2.10772089738943,2.87357943356778
2019-10-13,3.25422498502061,3.48945046929641,2.25151922281675,1.62576565275187,3.085949457667,2.74212637552981,4.3326750796962,3.90961165250465,2.22285078644717,3.09135983724666,3.55927010711382,2.21465924807993,2.24758912328162,2.63497751429611,0.688422383701817,1.37877340010734,1.90750399630931,1.20291742362143,5.72515064796785,1.69363387000051,2.10729842690584,2.88313281598203
2019-10-14,3.25587171664871,3.50152564967067,2.26194660493218,1.62495439407725,3.08499844706002,2.74208736254959,4.32448100163445,3.90921055684281,2.23076196983693,3.09754165457332,3.55165495027604,2.20914407876521,2.24874565905387,2.63267342166101,0.693410067155845,1.38172322328896,1.90017548688946,1.21374392735556,5.75584892866007,1.69304255392504,2.10804915708628,2.895044798251
2019-10-15,3.26354886105871,3.50646107661131,2.2741171761173,1.62450590381299,3.08364100228718,2.73383301083093,4.3200702175232,3.90884456303236,2.24046705653116,3.10446897364874,3.54507581790881,2.2060936850958,2.24967498417594,2.6367951590916,0.69944006990196,1.388260785926,1.90259966146127,1.22494118703786,5.79316000955834,1.6908920277636,2.10834151874151,2.8954485676186
2019-10-16,3.26699231415225,3.50895209008957,2.29501154813754,1.62643409331661,3.08002274970756,2.73634977815161,4.32031651112985,3.90559071735059,2.26141488465707,3.10568412002193,3.54926465431574,2.20407069609286,2.24817205619769,2.64460680786168,0.704797064977843,1.39427718839562,1.90681772570065,1.23321087923941,5.81620041502499,1.68742253809212,2.10625403609148,2.88943021185502
2019-10-17,3.27888258850281,3.4966198447223,2.31553576131169,1.62624202012501,3.07862449506694,2.74016480839862,4.31693420612006,3.91544529743675,2.31530660141008,3.09915768142349,3.56258929056308,2.20963141031326,2.24820347858474,2.6637195693494,0.709344829698389,1.39924922770969,1.9096979239895,1.24156793486445,5.85188101119575,1.68095293065623,2.10152827919928,2.89382935331134
2019-10-18,3.28893919180206,3.4910631205564,2.32045978876126,1.63099623957447,3.08461541614382,2.74289608266387,4.31926156175911,3.93261207758031,2.31375701420828,3.09187305054559,3.5736080432081,2.21066430605828,2.24785581551869,2.65081651038017,0.711977496496988,1.40520617984033,1.91550305323801,1.25208227177021,5.88051333779741,1.67560113166919,2.10416329653017,2.89830295716559
2019-10-19,3.29983686269474,3.47964059754066,2.33896033780431,1.63314565560287,3.09218942225042,2.75012659352547,4.32312760716341,3.94552739453716,2.31921191385532,3.08331619119513,3.5599906108392,2.2205946176765,2.25103387835288,2.66396885226819,0.7106696097366,1.41032736679411,1.91569416740342,1.26319086181594,5.91765386429356,1.67005995297152,2.11187952469842,2.89878224887048
2019-10-20,3.30380374628871,3.48085958679061,2.34834723423336,1.63518551028084,3.09866732503325,2.75934981225902,4.32940735392144,3.96481929259229,2.32025567789316,3.07785833192878,3.5700014182379,2.22715321673496,2.25918557265508,2.6537622067478,0.711272411340561,1.41736246090461,1.9201905030925,1.26778435105356,5.95678017384049,1.66848863554173,2.10959799454529,2.8996625126719
2019-10-21,3.31544720307783,3.48122342348363,2.3711936867382,1.63953667482527,3.10874106126052,2.76723340170658,4.33499431325992,3.97722882286031,2.3318918875101,3.07374547234069,3.57882333074078,2.23239959366699,2.27107934123357,2.65413361097046,0.711714959629873,1.4234020604431,1.94103699587182,1.27152772144759,5.99775156246087,1.66666571323387,2.10817207102562,2.90121871613307
2019-10-22,3.31465041822297,3.47376685303906,2.38036807190793,1.63873759751356,3.11577893771321,2.78166554834985,4.338818260413,3.99241332346972,2.33579799314438,3.06782186724998,3.58403051028985,2.23871360339124,2.27818604877115,2.64228981905146,0.711847527421592,1.43150797116895,1.94825119582844,1.27068558094378,6.01914381855451,1.6644356514398,2.10544361875504,2.90292727772125
2019-10-23,3.31780079896549,3.47724649985703,2.38243147942013,1.63949794657603,3.12654608115364,2.78967451685839,4.33862488596064,4.01888835869719,2.33181864017891,3.0696274552311,3.58686996685655,2.24520992561096,2.28878588300645,2.61863025665404,0.707605960462579,1.43909104646761,1.95309991952329,1.26799949677762,6.18186595494188,1.66339877304442,2.10647339255469,2.901338258371
2019-10-24,3.31772510454651,3.4812136496564,2.382426370296,1.6298088592391,3.13492445385466,2.7958869373673,4.33968509338395,4.03857880697652,2.28856648958183,3.07538060891735,3.58017088581723,2.24851967309809,2.30098343342692,2.58158008807595,0.702230785152606,1.44761896236558,1.95769707975308,1.25880785327774,6.31906234656689,1.66382098593855,2.1056396201146,2.89919792720382
2019-10-25,3.33109814966597,3.48268340034566,2.39018125405725,1.61888859528696,3.14289257713496,2.80332373511014,4.34441208779465,4.05092011779908,2.28892358047613,3.0863963375154,3.58111876376277,2.25664011984599,2.31765416560252,2.57169761384766,0.69912120651337,1.45432481890319,1.95002370241668,1.24983339790128,6.4465065417972,1.66432151104737,2.10487604883335,2.896463119673
2019-10-26,3.32530574003109,3.48958382486456,2.38168809798874,1.60145431878527,3.14666245337458,2.81230590608024,4.34720286917103,4.06471773730959,2.28298410964386,3.09657118089506,3.5969730863317,2.25651477234418,2.33094840594617,2.53483043023989,0.697630750587315,1.46234579431171,1.94809213991759,1.23960451704135,6.51842220743844,1.67146182876997,2.10262563387802,2.89750977119767
