date,AT,AU,BE,BR,CA,CH,DE,ES,FR,GB,IE,IL,IN,IT,LU,MX,NL,NZ,PH,PL,SE,SG,US,JP
2023-05-25,3.18093548711495,2.49093828827599,0.462787516866887,3.67732542147399,4.06244828730413,1.70981508189703,3.00710673922504,2.37980634121718,0.605889366038701,2.75402247519082,2.36485405724136,4.37543676676213,8.79579567857716,1.77881255574506,1.69626385560413,2.20049180546345,0.725554706694253,2.5643742776998,8.88298772752117,3.53423803791844,1.14383358218321,3.64154184511039,9.29943221596091,2.33915569271793
2023-05-26,3.05785552739844,2.48184306567337,0.45641440818176,3.63876704319482,4.0619228874565,1.66018953242231,2.96084856462756,2.37458270394924,0.598716564346888,2.72400468105002,2.37326860191361,4.50985835143095,8.82174788763534,1.75685147196879,1.70592203252636,2.19698223186427,0.704533299409875,2.56986130039477,8.89260972583467,3.53836461836048,1.13901928445961,3.64016995135037,9.23282352458878,2.35317075084716
2023-05-27,3.02909829145353,2.47551258923861,0.439999643633041,3.62749179028675,4.05028731507934,1.68139554142159,2.91954208713808,2.34378122727968,0.588040483751252,2.69481711164319,2.35559533680201,4.44877477385227,8.84159395627017,1.74474023987698,1.58619971517268,2.19847398312445,0.701099234520923,2.60408142969819,8.93090629163556,3.59200938520602,1.13469511702152,3.55762148704128,9.17273380893354,2.36701323373005
2023-05-28,3.00490104441442,2.46970740770984,0.453980896035247,3.58976112287181,4.05932069714623,1.6821364097433,2.87067624995272,2.3348300322253,0.592494646310268,2.65602907047129,2.36256098861963,4.50389884449408,8.86342443842933,1.72606850059653,1.59963671390379,2.1958009735199,0.694758029783334,2.60494209923561,8.93760405717092,3.57097438596566,1.14033505606904,3.5397314016693,9.09811425091546,2.37728184203533
2023-05-29,3.08078873764127,2.47656617782925,0.464715938677807,3.56764471076703,4.04385628075746,1.71327017362734,2.88435753335233,2.30504523043577,0.598835511376709,2.62952810618186,2.34889756036726,4.51567744483385,8.97197908946286,1.70979731135866,1.581994255972,2.18632690618737,0.708350972081685,2.61891735887071,8.9933371366266,3.60232819713501,1.1284412695775,3.52391712557002,9.02348778443116,2.39981744783355
2023-05-30,3.09635203159435,2.49496727413705,0.459500773721799,3.56174249262004,4.03693111806364,1.71222542770998,2.87395284888169,2.28449551497256,0.600518447981171,2.6185259167411,2.33852494783081,4.50822191364383,9.00483089042802,1.69451665843668,1.64871296323786,2.19191802222248,0.70680938367933,2.63005109762566,9.03460241657732,3.57728106036551,1.13632433411626,3.52506550863283,9.02260314026959,2.40265455497161
2023-05-31,3.07680614435062,2.49535374302453,0.46375197539133,3.5795294897524,4.01856167349945,1.69527930651354,2.87444221953578,2.27966715052004,0.608155571747019,2.6245942726978,2.32098444520304,4.53589530780322,9.06630769171237,1.68604612147867,1.66466117273446,2.20601529679769,0.707614795011757,2.62767418609521,9.06392630975991,3.56827615728081,1.13980966581017,3.51183802597172,9.04587281912415,2.38705610883976
2023-06-01,3.12131678573433,2.49452139269636,0.463056041889416,3.60407745423551,4.02096762525612,1.69819812146513,2.88527077536078,2.26002295476936,0.61264324800999,2.62636695902546,2.32631098642112,4.51463090391627,9.15736290341635,1.68163240717037,1.59779031987149,2.21429278454133,0.703798050031204,2.6203217731167,9.06107572431016,3.54445065765968,1.1503759468784,3.54125950465165,9.05471752664139,2.38003684146082
2023-06-02,3.21743289466635,2.48920294045005,0.469214987086562,3.64364630527814,4.01697844238737,1.73082075378653,2.89571718722589,2.2641273439893,0.610344067252499,2.64224700220588,2.30895508354993,4.29620724600479,9.22044008911416,1.71978654642759,1.47152226714175,2.21608468215544,0.702608586343219,2.60999154296497,9.03031176353529,3.52509177467398,1.15167266570212,3.60789209380937,9.07729460451187,2.38043818833177
2023-06-03,3.25910633582065,2.49976260344785,0.474660024763797,3.65078936186198,4.017237541652,1.71488850955422,2.90742314060339,2.25012760387894,0.610913181273652,2.66926922131101,2.29066637449335,4.33861751850342,9.28259943039014,1.73962329637709,1.5342283575954,2.23043489094955,0.697699197740588,2.60726264990093,9.04944760871206,3.50508189585104,1.12159052928528,3.68258588638192,9.09712550852791,2.38417601441803
2023-06-04,3.22531816529572,2.50621628390761,0.473548432017175,3.69025700076056,4.01810444564146,1.71447743076469,2.92857718883177,2.21583232204433,0.602687910190634,2.70082731675907,2.30179004562674,4.3286796655728,9.32290923902655,1.76023541960245,1.4457022237731,2.23395682397824,0.70004957359037,2.605971069382,9.0735579646238,3.41612951464203,1.1459379042373,3.68226703892893,9.14650151480851,2.37273421925741
2023-06-05,3.15382649716228,2.49513390443501,0.456141606346315,3.71145797770579,4.02248888049696,1.68447577659483,2.91125791874462,2.22016552841827,0.592199676615872,2.72429120657423,2.29962043822772,4.52529133986629,9.3084095204654,1.77020508866211,1.42813250557244,2.24177663082067,0.67669873296176,2.58257626327573,9.11318417994548,3.37785529669862,1.16474224564214,3.70761574573809,9.18475943230562,2.35865164838614
2023-06-06,3.17845436464126,2.49364971122289,0.437921857159438,3.72242376498418,4.00795601128932,1.66691115397417,2.91513136449201,2.21556280732751,0.589979986634538,2.73661856457953,2.30748978176036,4.60276465046855,9.32994151787275,1.78582614279068,1.37775915017105,2.23699203678697,0.669155633220288,2.55089490451033,9.14326450919925,3.42125112197104,1.1810217871971,3.6863923375314,9.1732927628686,2.35153399508286
2023-06-07,3.1819869026232,2.49762750826823,0.437609378140192,3.70188593358884,4.01747739726013,1.689512908944,2.90356156552096,2.21791158114184,0.588214685774951,2.73659999312983,2.32231472306856,4.68096789234035,9.28916964522225,1.78453495842461,1.39726003071742,2.23309760302325,0.669902978996082,2.55197044848514,9.0902602103967,3.43712699331159,1.1611019286673,3.7098143147075,9.16241823921085,2.36190125666828
2023-06-08,3.12144266825417,2.50073451031378,0.437909901495704,3.73557176618898,4.02874792427293,1.70245566744749,2.90032493015046,2.24139820178105,0.586909041728568,2.73167307521043,2.33363623340008,4.75729749379005,9.25252775038035,1.78895445068904,1.37176763631504,2.23580582294475,0.673745139719079,2.55199061281243,9.08078109513622,3.48918371744913,1.15686597346431,3.69389686057225,9.16791879852729,2.36675847980398
2023-06-09,3.04424368789461,2.50111771831334,0.443871517943322,3.75516373526104,4.04609099305329,1.68423909047046,2.8954663804955,2.23894690009703,0.588536553583218,2.71905449648572,2.35089169056859,4.94684060001244,9.19526516145165,1.762848985807,1.45455124309207,2.24119277513851,0.67303869692186,2.54160967349313,9.1020620382517,3.49241710678518,1.15727695744317,3.68726611827495,9.16392707130981,2.356642559085
2023-06-10,3.02962341033406,2.50594498295192,0.454828182832825,3.76774466041641,4.06003490140543,1.66659145448514,2.88377980548965,2.24942576421374,0.589125164836294,2.69321896530347,2.40140093276499,5.09782775929114,9.18249885595714,1.74290723351999,1.46612517891295,2.25094475440914,0.693009142941865,2.51063444139153,9.1147662201168,3.4925129690494,1.18323318821392,3.67068678027177,9.18115310893136,2.33791513320189
2023-06-11,3.00925119116785,2.48134225136412,0.451059049233489,3.77548717380557,4.0794121218617,1.66242325917185,2.88329993752283,2.24461196459182,0.592427572589374,2.6792565481865,2.42894775797418,5.21026673422782,9.21496994134998,1.73556091380073,1.56949317625107,2.25494868238969,0.692628464495748,2.50656792540376,9.19500933535429,3.56898563847283,1.17278628171486,3.68077289817427,9.1939914918435,2.33698167501918
2023-06-12,2.99345775201547,2.49507181503838,0.461712802546626,3.76412220204958,4.08750371989596,1.65855854286434,2.87923925633363,2.23288098673591,0.597861742896558,2.66570258361355,2.4537874403367,5.13342459300069,9.2363305012222,1.72407338491885,1.54118304450037,2.26115590199258,0.691588266486944,2.48647238505594,9.21853340439956,3.61515925208687,1.1736747921404,3.6887940615993,9.20862118995739,2.32977054986175
